Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Color (product.metafields.shopify.color-pattern),Cover features (product.metafields.shopify.cover-features),Cover material (product.metafields.shopify.cover-material),Decoration material (product.metafields.shopify.decoration-material),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Office supply material (product.metafields.shopify.office-supply-material),Portability (product.metafields.shopify.portability),Retail/Sale sign design (product.metafields.shopify.retail-sale-sign-design),Shape (product.metafields.shopify.shape),Suitable space (product.metafields.shopify.suitable-space),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle decor features (product.metafields.shopify.vehicle-decor-features),Vehicle type (product.metafields.shopify.vehicle-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
snow-brooms-with-handles,Snow Brooms with Handles,"<p><img><span>Sno Rakes patented 18"" polyethylene foam head is wrapped around a hardwood core for durability. Unique ""traffic marker orange"" head is visible even when buried in light snow. Includes 48"" hardwood handle with metal thread. Will not scrat</span><span class=""morecontent""><span class=""content"">ch finishes.</span></span></p>",Giant Dealer Supplies,Home & Garden > Lawn & Garden > Snow Removal > Ice Scrapers & Snow Brushes > Snow Brushes,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,39.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/spsr_3.webp?v=1768925769,1,"",false,,,,orange,,,,,,,,,,,,,,,lb,,,active
vehicle-information-sticker,Vehicle Information Sticker,"<div class=""row"">
<div class=""col-lg-12"">
<div class=""plaintext proddesc"">Vehicle Information Sticker adheres to the inside of the window. No more using tape! This one part form is a great way to inform your customers of all the added accesories. 100 per pack. Form is 8 1/2"" wide x 11"" tall.</div>
</div>
</div>",Giant Dealer Supplies,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Decals","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,38.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/0625_i15.jpg?v=1768923309,1,"",false,,,,red,,,,,,,,,,,interior,easy-to-apply,car,,lb,,,active
dealer-plate-bags,Dealer Plate Bags,<p><span>Deluxe vinyl dealer plate bag has heavy gauge clear plastic cover and Velcro fold over top. Tough seat belt material strap.</span></p>,Giant Dealer Supplies,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle License Plate Covers","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,10.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/dpp.webp?v=1768922170,1,"",false,,,,black,easy-to-install; waterproof; scratch-resistant,plastic,,,,,,,,,exterior,,car,,lb,,,active
work-order-key-tags,Work Order Key Tags,"<p><span>Economically priced! Ideal for service departments, garages and body shops.</span></p>",Giant Dealer Supplies,Office Supplies > General Office Supplies > Labels & Tags,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,57.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/pts1000.webp?v=1768922067,1,"",false,,,,,,,,,,cardboard; metal,,,,,,,,,lb,,,active
drop-box-envelopes,Drop Box Envelopes,"<ul>
<li data-start=""98"" data-end=""168"">
<p data-start=""100"" data-end=""168"">Drop box key envelopes designed for service department convenience</p>
</li>
<li data-start=""169"" data-end=""242"">
<p data-start=""171"" data-end=""242"">Pre-printed with essential fields for clear and organized information</p>
</li>
<li data-start=""243"" data-end=""296"">
<p data-start=""245"" data-end=""296"">Ideal for after-hours key drop and service intake</p>
</li>
<li data-start=""297"" data-end=""367"">
<p data-start=""299"" data-end=""367"">Helps improve accuracy and efficiency in customer vehicle handling</p>
</li>
<li data-start=""368"" data-end=""426"">
<p data-start=""370"" data-end=""426"">Durable envelope construction for daily dealership use</p>
</li>
<li data-start=""427"" data-end=""451"">
<p data-start=""429"" data-end=""451"">Sold in boxes of 100</p>
</li>
</ul>",Giant Dealer Supplies,Office Supplies > General Office Supplies > Paper Products > Envelopes,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,49.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/DropBoxEnvelopes.jpg?v=1767030876,1,"",false,,,,teal,,,,,,,,,,,,,,,lb,,,active
deal-jackets,Deal Jackets,"<ul>
<li data-start=""102"" data-end=""173"">
<p data-start=""104"" data-end=""173"">9"" x 12"" manila deal jackets ideal for organizing vehicle paperwork</p>
</li>
<li data-start=""174"" data-end=""244"">
<p data-start=""176"" data-end=""244"">Keeps important documents protected from loss, tears, and wrinkles</p>
</li>
<li data-start=""245"" data-end=""325"">
<p data-start=""247"" data-end=""325"">Perfect for auto dealerships, sales departments, and vehicle inventory files</p>
</li>
<li data-start=""326"" data-end=""385"">
<p data-start=""328"" data-end=""385"">Durable manila construction for everyday dealership use</p>
</li>
<li data-start=""386"" data-end=""442"">
<p data-start=""388"" data-end=""442"">Helps streamline vehicle sales and record management</p>
</li>
<li data-start=""443"" data-end=""478"">
<p data-start=""445"" data-end=""478"">Sold in convenient packs of 100</p>
</li>
</ul>",Giant Dealer Supplies,Office Supplies > Filing & Organization > Folders & Report Covers > Pocket Folders,"","",true,Color,blue,product.metafields.shopify.color-pattern,,,,,,,,0.0,,0,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/EZ450-Simple.jpg?v=1768922861,1,"",false,,,,blue; yellow,,,,,,,,,,,,,,,lb,,,active
deal-jackets,,,,,,,,,yellow,,,,,,,,,0.0,,0,deny,manual,42.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,Oval Model Year Stickers,"<p>Easy to Install</p>
<p>Highlight The Vehicle's Model Year</p>
<p>Available in multiple colours</p>
<p>Packs of 12 </p>",Giant Dealer Supplies,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Decals","","",true,Color,Red & Yellow,,Year,2014,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/ModelYearStickers-Oval.webp?v=1767029856,1,"",false,,,one-size,"",,,plastic; vinyl,,,,,,,,exterior,easy-to-apply,car,,lb,,,active
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2015,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2016,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2017,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2018,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2019,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2020,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2021,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2022,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2023,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2024,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2025,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & Yellow,,,2026,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2014,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2015,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2016,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2017,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2018,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2019,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2020,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2021,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2022,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2023,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2024,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2025,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Blue & Yellow,,,2026,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2014,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2015,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2016,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2017,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2018,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2019,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2020,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2021,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2022,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2023,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2024,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2025,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
oval-model-year-stickers,,,,,,,,,Red & White,,,2026,,,,,,0.0,,0,deny,manual,13.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
custom-reusable-mirror-hangers,Custom Reusable Mirror Hangers,<p><span>Custom printed reusable coroplast sign hangs from the rearview mirror. Printed in full colour</span></p>,Giant Dealer Supplies,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Rear View Mirror Ornaments","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,18.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/CustomReusableMirrorHangers.webp?v=1767024058,1,"",false,,,one-size,multicolor,,,plastic,,,,,,,,interior,easy-to-apply,car,,lb,,,active
