Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Accessory size (product.metafields.shopify.accessory-size),Color (product.metafields.shopify.color-pattern),Cover features (product.metafields.shopify.cover-features),Cover material (product.metafields.shopify.cover-material),Decoration material (product.metafields.shopify.decoration-material),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Office supply material (product.metafields.shopify.office-supply-material),Portability (product.metafields.shopify.portability),Retail/Sale sign design (product.metafields.shopify.retail-sale-sign-design),Shape (product.metafields.shopify.shape),Suitable space (product.metafields.shopify.suitable-space),Vehicle application area (product.metafields.shopify.vehicle-application-area),Vehicle decor features (product.metafields.shopify.vehicle-decor-features),Vehicle type (product.metafields.shopify.vehicle-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
custom-heavy-stock-mirror-hangers,Custom Heavy Stock Mirror Hangers,"<p>Custom Heavy Stock Mirror Hangers designed to exceed your expectations. We print everything in-house, giving you direct access to our talented design team who are ready to bring your ideas to life. Whether you need standard specifications or completely custom design, we work closely with you every step of the way.</p>
<p> </p>
<p>Once you submit the order, our sales team will be in touch to coordinate with our designers to ensure a timely delivery</p>",Giant Dealer Supplies,Home & Garden > Decor > Mirrors,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,50.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/CustomHeavyStockMirrorHangers.jpg?v=1767023639,1,"",false,,,,green; yellow,,,,,,,,,rectangular,,,,,,lb,,,active
custom-heavy-stock-mirror-hangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0759/8863/1701/files/Perma-Shine_Mirror_Hanger.png?v=1767023751,2,"",,,,,,,,,,,,,,,,,,,,,,,
sold-hold-mirror-hangers,Sold/Hold Mirror Hangers,"<p><span><strong>Sold/Hold Tags are two tags in one! ""Sold"" on the front and ""Hold"" on the back!</strong></span></p>
<ul>
<li>Packaged 50 per shrink-wrapped pack.</li>
<li>
<strong>Stock:</strong><span> </span>Heavy card stock.</li>
</ul>",Giant Dealer Supplies,Business & Industrial > Retail > Pricing Guns,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/Sold_HoldMirrorHangers.png?v=1767023227,1,"",false,,,,yellow,,,,,,,,,,,,,,,lb,,,active
service-dispatch-control-tags,Service Dispatch Control Tags,"<ul>
<li>Packaged 10 pads of 100 - 1,000 per box.</li>
<li>Lowest set is 000-999.</li>
<li>Highest set is 9000-9999.</li>
</ul>",Giant Dealer Supplies,Office Supplies > General Office Supplies > Labels & Tags,"","",true,Numbers,0-999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/ServicedispatchControlTags.jpg?v=1767022681,1,"",false,,,,,,,,,,cardboard,,,,,,,,,lb,,,active
service-dispatch-control-tags,,,,,,,,,1000-1999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,2000-2999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,3000-3999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,4000-4999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,5000-5999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,6000-6999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,7000-7999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,8000-8999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
service-dispatch-control-tags,,,,,,,,,9000-9999,,,,,,,,,0.0,,0,deny,manual,128.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,Round Corner E-Z Tags,"<ul>
<li data-start=""82"" data-end=""167"">
<p data-start=""84"" data-end=""167"">Rounded-corner self-laminating key tags designed for comfort and ease of handling</p>
</li>
<li data-start=""168"" data-end=""230"">
<p data-start=""170"" data-end=""230"">Smooth edges help reduce snagging in pockets and daily use</p>
</li>
<li data-start=""231"" data-end=""300"">
<p data-start=""233"" data-end=""300"">Durable, high-quality materials with long-lasting, vibrant colors</p>
</li>
<li data-start=""301"" data-end=""371"">
<p data-start=""303"" data-end=""371"">Easy fold-and-seal design creates a fully enclosed, waterproof tag</p>
</li>
<li data-start=""372"" data-end=""434"">
<p data-start=""374"" data-end=""434"">Ideal for organizing vehicle inventory at auto dealerships</p>
</li>
<li data-start=""435"" data-end=""468"">
<p data-start=""437"" data-end=""468"">Available in 11 color options</p>
</li>
</ul>",Giant Dealer Supplies,Office Supplies > General Office Supplies > Labels & Tags,"","",true,Color,blue,product.metafields.shopify.color-pattern,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/RoundCornerE-ZTags.jpg?v=1767022046,1,"",false,,,,blue; white; gray; orange; yellow; green; tan; lime-green; teal; purple; red,,,,,,plastic,,,,,,,,,lb,,,active
round-corner-e-z-tags,,,,,,,,,white,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/RoundCornerE-ZTags-2.webp?v=1767022228,2,"",,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,gray,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,orange,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,yellow,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,green,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,tan,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,lime-green,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,teal,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,purple,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
round-corner-e-z-tags,,,,,,,,,red,,,,,,,,,0.0,,0,deny,manual,47.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
poly-stock-stickers,Poly Stock Stickers,"<ul>
<li>Peel tape, fill out vehicle specific information and adhere to inside of windshield for easy identification.</li>
<li>Packaged 250 stickers per box.</li>
<li>Includes 1 Fine Point Marker.</li>
<li>Available in White and Yellow.</li>
<li>
<strong>Stock:</strong><span> </span>23 mil Polyethylene</li>
</ul>",Giant Dealer Supplies,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Decals","","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,45.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/PolyStockStickersBothColors.jpg?v=1766902171,1,"",false,,,one-size,yellow,,,plastic,,,,,,,,interior,easy-to-apply,car,,lb,,,active
poly-stock-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0759/8863/1701/files/PolyStockStickersWhite.jpg?v=1766902193,2,"",,,,,,,,,,,,,,,,,,,,,,,
poly-stock-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0759/8863/1701/files/PolyStockStickersYellow.jpg?v=1766902211,3,"",,,,,,,,,,,,,,,,,,,,,,,
mini-signs,Mini Signs,"<ul>
<li>Clear plastic film seals sticker to window on all four sides</li>
<li>Packaged 250 per box with 1 Wide Tip Marker<br>
</li>
<li>Available in White with Red Border.</li>
</ul>",Giant Dealer Supplies,Business & Industrial > Signage > Retail & Sale Signs,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,28.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/MiniSigns.jpg?v=1766902058,1,"",false,,,,red,,,,plastic,wall,,portable,custom,,indoors,,,,,lb,,,active
sold-stickers,Sold Stickers,"<ul>
<li>Packaged 100 per shrink-wrapped pack.</li>
<li>
<strong>Stock:</strong><span> </span>White Matte Vinyl</li>
<li>
<strong>Size:</strong><span> </span>4"" x 7""</li>
</ul>",Giant Dealer Supplies,Business & Industrial > Signage > Retail & Sale Signs,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,26.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/SoldStickersRedandWhite.jpg?v=1766901859,1,"",false,,,,red,,,,vinyl,portable,,portable,sale,,indoors,,,,,lb,,,active
stock-stickers,Stock Stickers,"<ul>
<li>Clear plastic film seals sticker to inside of window on all four sides.</li>
<li>Packaged 100 per shrink-wrapped pack.</li>
<li>Available in 6 colors</li>
<li>For best performance use Fine Point Marker.</li>
</ul>",Giant Dealer Supplies,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Decals","","",true,Color,yellow,product.metafields.shopify.color-pattern,,,,,,,,453.59237,,0,deny,manual,16.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/StockStickers-Multicolors.jpg?v=1766901658,1,"",false,,,standard,yellow; orange; red; blue; green,,,plastic,,,,,,,,interior,easy-to-apply,car,,lb,,,active
stock-stickers,,,,,,,,,orange,,,,,,,,,453.59237,,0,deny,manual,16.95,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/StockStickers-Dimensions.jpg?v=1766901686,2,"",,,,,,,,,,,,,,,,,,,,lb,,,
stock-stickers,,,,,,,,,red,,,,,,,,,453.59237,,0,deny,manual,16.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
stock-stickers,,,,,,,,,blue,,,,,,,,,453.59237,,0,deny,manual,16.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
stock-stickers,,,,,,,,,green,,,,,,,,,453.59237,,0,deny,manual,16.95,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
poly-tags,Poly Tags,"<ul>
<li>Available 250 per box</li>
<li>Includes 2 Fine Point Markers and Rings.</li>
<li>Available in White or Yellow</li>
</ul>",Giant Dealer Supplies,Office Supplies > General Office Supplies > Labels & Tags,"","",true,Color,white,product.metafields.shopify.color-pattern,,,,,,,,635.029318,,0,deny,manual,38.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/PolyTags_Yellow.jpg?v=1766900623,1,"",false,,,,white; yellow,,,,,,plastic,,,,,,,,,lb,,,active
poly-tags,,,,,,,,,yellow,,,,,,,,,635.029318,,0,deny,manual,38.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/PolyTagswithDimensions.jpg?v=1766900643,2,"",,,,,,,,,,,,,,,,,,,,lb,,,
poly-tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0759/8863/1701/files/OpenBoxPolyTags.jpg?v=1766900665,3,"",,,,,,,,,,,,,,,,,,,,,,,
poly-tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0759/8863/1701/files/WhitePolyTag.jpg?v=1766900705,4,"",,,,,,,,,,,,,,,,,,,,,,,
consecu-tags,Consecu-Tags,"<ul>
<li>Packaged 125 sets in one color per box, with rings.</li>
<li>Available in Blanks</li>
</ul>",Giant Dealer Supplies,Office Supplies > Filing & Organization,Key Tags,"",true,Title,Default Title,,,,,,,,,1224.699399,,0,deny,manual,58.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/ConsecuTagMeasurements.jpg?v=1766900262,1,"",false,,,,black; green,,,plastic,,,,,,,,exterior,easy-to-apply,car,,lb,,,active
consecu-tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0759/8863/1701/files/PulledApartConsecuTags.jpg?v=1766900291,2,"",,,,,,,,,,,,,,,,,,,,,,,
versa-tags,Versa Tags,"<ul>
<li>Write on with any pen or marker.</li>
<li>Packaged 250 tags per box, with rings.</li>
<li>10 colors to choose from!</li>
</ul>",Giant Dealer Supplies,Office Supplies > General Office Supplies > Labels & Tags,"","",true,Color,lime-green,product.metafields.shopify.color-pattern,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/VersaTags.jpg?v=1766898626,1,"",false,,,,lime-green; green; tan; red; yellow; orange; gray; pink; white; blue,,,,,,plastic,,,,,,,,,lb,,,active
versa-tags,,,,,,,,,green,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/WhiteVersaTags.jpg?v=1766898626,2,"",,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,tan,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/VersaTagsonakey.jpg?v=1766898626,3,"",,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,red,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/BoxofVersaTags.jpg?v=1766898626,4,"",,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,yellow,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0759/8863/1701/files/PeelingVersaTags.jpg?v=1766898626,5,"",,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,orange,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,gray,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,pink,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,white,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
versa-tags,,,,,,,,,blue,,,,,,,,,680.388555,,0,deny,manual,42.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,lb,,,
